title_key,id,title_ja,title_en,author,year,status,demographic,source_file,source_index
철혈검가사냥개의회귀,revenge_of_the_baskerville_bloodhound,철혈검가 사냥개의 회귀,Revenge of the Baskerville Bloodhound,"Lego Babasseo/Seol, Arang",2023,ongoing,web,src/data/coreDB_extra2.js,29
회귀수선전,a_regressor_s_tale_of_cultivation,회귀수선전,A Regressor's Tale of Cultivation,"Kim, Muhyeon/Eomcheongnan",2025,ongoing,web,src/data/coreDB_extra2.js,31
로그인무림,log_in_murim,로그인 무림,Log-in Murim,"Zero-BIG/Jang, Cheolbyeok",2020,ongoing,web,src/data/coreDB_extra2.js,32
斗破苍穹,battle_through_the_heavens,斗破苍穹,Battle Through the Heavens,"Tian Can Tudou/Ren, Xiang",2012,ongoing,web,src/data/coreDB_extra2.js,34
디펜스게임의폭군이되었다,tyrant_of_the_tower_defense_game,디펜스 게임의 폭군이 되었다,Tyrant of the Tower Defense Game,"Ryueun, Garam/Gyong",2022,ongoing,web,src/data/coreDB_extra2.js,37
王様ランキング,ranking_of_kings,王様ランキング,Ranking of Kings,"Tooka, Sousuke",2019,ongoing,seinen,src/data/coreDB_extra2.js,42
杖と剣のウィストリア,wistoria_wand_and_sword,杖と剣のウィストリア,Wistoria: Wand and Sword,"Omori, Fujino/Aoi, Toshi",2020,ongoing,shonen,src/data/coreDB_extra2.js,46
とある魔術の禁書目録,a_certain_magical_index,とある魔術の禁書目録,A Certain Magical Index,"Kamachi, Kazuma/Kogino, Chuuya",2007,ongoing,shonen,src/data/coreDB_extra2.js,48
一勝千金,st_r_strike_it_rich,一勝千金,ST✰R: Strike It Rich,"Sandrovich, Yabako/MAAM",2023,ongoing,seinen,src/data/coreDB_extra2.js,53
4컷용사,four_cut_hero,4컷용사,4 Cut Hero,Gojira-kun,2014,completed,web,src/data/coreDB_extra2.js,54
열혈강호,the_ruler_of_the_land,열혈강호,The Ruler of the Land,"Yang, Jae Hyun/Jeon, Geuk-jin",1995,ongoing,web,src/data/coreDB_extra2.js,55
ゴルゴ13,golgo_one_three,ゴルゴ13,Golgo 13,"Saitou, Takao/Koike, Kazuo",1968,ongoing,seinen,src/data/coreDB_extra2.js,59
고수,gosu,고수,Gosu,"Mun, Jung-Hoo/Ryu, Ki Woon",2015,completed,web,src/data/coreDB_extra2.js,62
裏世界ピクニック,otherside_picnic,裏世界ピクニック,Otherside Picnic,"Mizuno, Eita/Miyazawa, Iori",2018,ongoing,shonen,src/data/coreDB_extra2.js,63
싸움독학,viral_hit_x,싸움독학,Viral Hit,"Kim, Jung-Hyun/Park, Tae-Jun",2019,completed,web,src/data/coreDB_extra2.js,66
던전견문록,dungeon_odyssey,던전 견문록,Dungeon Odyssey,"Glump/Son, Minwoo",2022,ongoing,web,src/data/coreDB_extra2.js,68
바바리안퀘스트,barbarian_quest,바바리안 퀘스트,Barbarian Quest,Baeksu Gwijok/Morando,2022,completed,web,src/data/coreDB_extra2.js,69
광마회귀,return_of_the_mad_demon,광마회귀,Return of the Mad Demon,"Yu, Jinsung/Ihy",2021,ongoing,web,src/data/coreDB_extra2.js,70
투신전생기,doom_breaker,투신전생기,Doom Breaker,Cheongdam,2021,ongoing,web,src/data/coreDB_extra2.js,71
災厄は僕を好きすぎる,saiyaku_wa_boku_wo_suki_sugiru,災厄は僕を好きすぎる,Saiyaku wa Boku wo Suki Sugiru,"Kannagi, Satoru/Ninomiya, Etsumi",2009,ongoing,seinen,src/data/coreDB_extra2.js,73
異剣戦記ヴェルンディオ,v_lundio_divergent_sword_saga,異剣戦記ヴェルンディオ,Völundio: Divergent Sword Saga,"Nanao, Nanaki",2020,ongoing,seinen,src/data/coreDB_extra2.js,80
薫る花は凛と咲く,the_fragrant_flower_blooms_with_dignity,薫る花は凛と咲く,The Fragrant Flower Blooms with Dignity,"Mikami, Saka",2021,ongoing,seinen,src/data/coreDB_extra2.js,81
真夜中ハトチュン,tune_in_to_the_midnight_heart,真夜中ハートチューン,Tune In to the Midnight Heart,"Igarashi, Masakuni",2023,ongoing,shonen,src/data/coreDB_extra2.js,85
ゆびさきと恋々,a_sign_of_affection,ゆびさきと恋々,A Sign of Affection,"Morishita, Suu",2019,ongoing,shojo,src/data/coreDB_extra2.js,88
放課後帰宅びより,houkago_kitaku_biyori,放課後帰宅びより,Houkago Kitaku Biyori,"Matsuda, Mai",2023,ongoing,seinen,src/data/coreDB_extra2.js,89
痴漢男,chikan_otoko,痴漢男,Chikan Otoko,"Yokota, Takuma",2004,completed,seinen,src/data/coreDB_extra2.js,90
月刊少女野崎くん,monthly_girls_nozaki_kun,月刊少女野崎くん,Monthly Girls' Nozaki-kun,"Tsubaki, Izumi",2011,ongoing,seinen,src/data/coreDB_extra2.js,92
僕の心のヤバイやつ,the_dangers_in_my_heart,僕の心のヤバイやつ,The Dangers in My Heart,"Sakurai, Norio",2018,ongoing,shonen,src/data/coreDB_extra2.js,109
별이삼샵,star_ginseng_store,별이삼샵,Star Ginseng Store,Hyeono,2019,ongoing,web,src/data/coreDB_extra2.js,114
今朝も揺られてます,they_are_still_being_shaken_this_morning,今朝も揺られてます,They Are Still Being Shaken This Morning,"Masuda, Eiji",2024,ongoing,shonen,src/data/coreDB_extra2.js,124
お隣の天使様にいつの間にか駄目人間にされていた件aftertherain,the_angel_next_door_spoils_me_rotten_after_the_rain,お隣の天使様にいつの間にか駄目人間にされていた件 after the rain,The Angel Next Door Spoils Me Rotten: After the Rain,Puyo/Saeki-san,2023,ongoing,seinen,src/data/coreDB_extra2.js,127
多聞くん今どっち,tamon_s_b_side,多聞くん今どっち!?,Tamon's B-Side,"Shiwasu, Yuki",2021,ongoing,shojo,src/data/coreDB_extra2.js,129
スパの裏でヤニ吸うふたり,smoking_behind_the_supermarket_with_you,スーパーの裏でヤニ吸うふたり,Smoking Behind the Supermarket with You,Jinushi,2022,ongoing,seinen,src/data/coreDB_extra2.js,131
トニカクカワイイ,fly_me_to_the_moon,トニカクカワイイ,Fly Me to the Moon,"Hata, Kenjirou",2018,ongoing,shonen,src/data/coreDB_extra2.js,135
후궁스캔들,the_crown_princess_scandal,후궁 스캔들,The Crown Princess Scandal,Jeonghyeon/Kitrow,2021,completed,web,src/data/coreDB_extra2.js,140
お隣の天使様にいつの間にか駄目人間にされていた件,the_angel_next_door_spoils_me_rotten,お隣の天使様にいつの間にか駄目人間にされていた件,The Angel Next Door Spoils Me Rotten,"Saeki-san/Shibata, Wan",2022,ongoing,seinen,src/data/coreDB_extra2.js,145
合コンに行ったら女がいなかった話,how_i_attended_an_all_guy_s_mixer,合コンに行ったら女がいなかった話,How I Attended an All-Guy's Mixer,"Aokawa, Nana",2021,ongoing,seinen,src/data/coreDB_extra2.js,148
ひかえめに言っても、これは愛,love_that_s_an_understatement,ひかえめに言っても、これは愛,"Love, That's an Understatement","Fuji, Momo",2021,ongoing,shojo,src/data/coreDB_extra2.js,156
クラスで２番目に可愛い女の子と友だちになった,i_made_friends_with_the_second_prettiest_girl_in_my_class,クラスで２番目に可愛い女の子と友だちになった,I Made Friends with the Second Prettiest Girl in My Class,"Takata/Ono, Rin",2022,ongoing,seinen,src/data/coreDB_extra2.js,157
남편을내편으로만드는방법,how_to_win_my_husband_over,남편을 내 편으로 만드는 방법,How to Win My Husband Over,Nyangi-wa Hyangsinnyo/Siru,2021,ongoing,web,src/data/coreDB_extra2.js,174
올가미,trapped,올가미,Trapped,Haemuri,2019,completed,web,src/data/coreDB_extra2.js,184
北北西に曇と往け,go_with_the_clouds_north_by_northwest,北北西に曇と往け,"Go with the Clouds, North-by-Northwest","Irie, Aki",2016,ongoing,seinen,src/data/coreDB_extra2.js,186
록사나여주인공의오빠를지키는방법,roxana,록사나 : 여주인공의 오빠를 지키는 방법,Roxana,Kin/Yeoreumbit,2021,hiatus,web,src/data/coreDB_extra2.js,194
똑닮은딸,like_mother_like_daughter,똑 닮은 딸,"Like Mother, Like Daughter",Yidahm,2021,ongoing,web,src/data/coreDB_extra2.js,201
俺と悪魔のブルズ,me_and_the_devil_blues_the_unreal_life_of_robert_johnson,俺と悪魔のブルーズ,Me and the Devil Blues: The Unreal Life of Robert Johnson,"Hiramoto, Akira",2003,ongoing,seinen,src/data/coreDB_extra2.js,203
カグラバチ,kagurabachi,カグラバチ,Kagurabachi,"Hokazono, Takeru",2023,ongoing,shonen,src/data/coreDB_extra2.js,204
アイリスzero,iris_zero,アイリスzero,Iris Zero,"Hotaru, Takana/Piro, Shiki",2009,ongoing,seinen,src/data/coreDB_extra2.js,216
とんがり帽子のアトリエ,witch_hat_atelier,とんがり帽子のアトリエ,Witch Hat Atelier,"Shirahama, Kamome",2016,ongoing,seinen,src/data/coreDB_extra2.js,221
圕の大魔術師,magus_of_the_library,圕の大魔術師,Magus of the Library,"Izumi, Mitsu",2017,ongoing,seinen,src/data/coreDB_extra2.js,222
追放されるたびにスキルを手に入れた俺が、100の異世界で2周目無双,tsuihou_sareru_tabi_ni_skill_wo_te_ni_ireta_ore_ga_one_zero_zero_no_isekai_de_two_shuume_musou,追放されるたびにスキルを手に入れた俺が、100の異世界で2周目無双,"Tsuihou sareru Tabi ni Skill wo Te ni Ireta Ore ga, 100 no Isekai de 2-shuume Musou","Hinoura, Takumi/Nimori, Shimatsukasa",2022,ongoing,seinen,src/data/coreDB_extra2.js,224
魔入りました入間くんifepisodeof魔フィア,welcome_to_demon_school_iruma_kun_irumafia_edition,魔入りました!入間くん if Episode of 魔フィア,Welcome to Demon School! Iruma-kun: IruMafia Edition,hiroja,2023,ongoing,shonen,src/data/coreDB_extra2.js,225
魔入りました入間くん,welcome_to_demon_school_iruma_kun,魔入りました!入間くん,Welcome to Demon School! Iruma-kun,"Nishi, Osamu",2017,ongoing,shonen,src/data/coreDB_extra2.js,226
転生したらスライムだった件,that_time_i_got_reincarnated_as_a_slime,転生したらスライムだった件,That Time I Got Reincarnated as a Slime,"Kawakami, Taiki/Fuse",2015,ongoing,shonen,src/data/coreDB_extra2.js,227
きみが死ぬまで恋をしたい,i_want_to_love_you_till_your_dying_day,きみが死ぬまで恋をしたい,I Want to Love You Till Your Dying Day,"Aono, Nachi",2018,ongoing,seinen,src/data/coreDB_extra2.js,229
fate/kaleidlinerプリズマ☆イリヤドライ,fate_kaleid_liner_prisma_illya_three_rei,Fate/kaleid liner プリズマ☆イリヤ ドライ!!,Fate/kaleid liner Prisma☆Illya 3rei!!,"Hiroyama, Hiroshi",2012,ongoing,seinen,src/data/coreDB_extra2.js,233
dgrayman,d_gray_man,D.Gray-man,D.Gray-man,"Hoshino, Katsura",2004,ongoing,shonen,src/data/coreDB_extra2.js,236
夜明けの唄,lullaby_of_the_dawn,夜明けの唄,Lullaby of the Dawn,"Yuno, Ichika",2020,ongoing,seinen,src/data/coreDB_extra2.js,238
별을품은소드마스터,the_stellar_swordmaster,별을 품은 소드마스터,The Stellar Swordmaster,Q10/Juno,2023,ongoing,web,src/data/coreDB_extra2.js,240
タワダンジョン,tower_dungeon,タワーダンジョン,Tower Dungeon,"Nihei, Tsutomu",2023,ongoing,shonen,src/data/coreDB_extra2.js,245
ガチアクタ,gachiakuta,ガチアクタ,Gachiakuta,"Urana, Kei",2022,ongoing,shonen,src/data/coreDB_extra2.js,248
스미르나앤카프리,smyrna_and_capri,스미르나 앤 카프리,Smyrna and Capri,Brothers Without a Tomorrow,2022,completed,web,src/data/coreDB_extra2.js,249
イグナトの花嫁,bride_of_ignat,イグナートの花嫁,Bride of Ignat,"Mori, Moyori",2023,ongoing,seinen,src/data/coreDB_extra2.js,252
헌터는조용히살고싶다,the_hunter_s_gonna_lay_low,헌터는 조용히 살고 싶다,The Hunter's Gonna Lay Low,Ligong/Baeksam,2024,ongoing,web,src/data/coreDB_extra2.js,254
封神記,feng_shen_ji,封神記,Feng Shen Ji,"Deng, Zhi Hui/Zheng, Jian He",2010,completed,web,src/data/coreDB_extra2.js,255
fate/staynight[heaven'sfeel],fate_stay_night_heaven_s_feel,Fate/stay night [Heaven's Feel],Fate/stay night: Heaven's Feel,"Type-Moon/Ohna, Task",2015,ongoing,seinen,src/data/coreDB_extra2.js,256
회귀한용병은다계획이있다,the_regressed_mercenary_has_a_plan,회귀한 용병은 다 계획이 있다,The Regressed Mercenary Has a Plan,"Park, Jinseok/Gold Haeng",2024,ongoing,web,src/data/coreDB_extra2.js,262
ボクラノキセキ,bokura_no_kiseki,ボクラノキセキ,Bokura no Kiseki,"Kumeta, Natsuo",2007,ongoing,josei,src/data/coreDB_extra2.js,266
하루만네가되고싶어,your_throne,하루만 네가 되고 싶어,Your Throne,SAM,2020,ongoing,web,src/data/coreDB_extra2.js,267
던전속사정,what_happens_inside_the_dungeon,던전 속 사정,What Happens Inside the Dungeon,Reva,2019,completed,web,src/data/coreDB_extra2.js,268
귀야곡,the_ghost_s_nocturne,귀야곡,The Ghost's Nocturne,Ananas/C.R Jade,2022,ongoing,web,src/data/coreDB_extra2.js,269
わたしの幸せな結婚,my_happy_marriage,わたしの幸せな結婚,My Happy Marriage,"Kousaka, Rito/Agitogi, Akumi",2018,ongoing,seinen,src/data/coreDB_extra2.js,271
fate/strangefake,fate_strange_fake,Fate/strange Fake,Fate/strange Fake,"Narita, Ryohgo/Morii, Shizuki",2015,ongoing,seinen,src/data/coreDB_extra2.js,273
영원한너의거짓말,your_eternal_lies,영원한 너의 거짓말,Your Eternal Lies,"Kkomak/Jeon, Hoochi",2021,completed,web,src/data/coreDB_extra2.js,275
절대회귀,absolute_regression,절대회귀,Absolute Regression,"Park, Jin-Hwan/Jang, Yeonghun",2024,ongoing,web,src/data/coreDB_extra2.js,276
魔王城でおやすみ,sleepy_princess_in_the_demon_castle,魔王城でおやすみ,Sleepy Princess in the Demon Castle,"Kumanomata, Kagiji",2016,ongoing,shonen,src/data/coreDB_extra2.js,277
濁る瞳で何を願うハイセルク戦記,record_of_highserk_war,濁る瞳で何を願う ハイセルク戦記,Record of Highserk War,"Torutonen/Saitou, Yanomi",2022,ongoing,shonen,src/data/coreDB_extra2.js,279
이결혼은어차피망하게되어있다,the_broken_ring_this_marriage_will_fail_anyway,이 결혼은 어차피 망하게 되어있다,The Broken Ring: This Marriage Will Fail Anyway,"Kim, Chacha/Cheong-gwa",2022,ongoing,web,src/data/coreDB_extra2.js,280
宇宙兄弟,space_brothers,宇宙兄弟,Space Brothers,"Koyama, Chuuya",2007,ongoing,seinen,src/data/coreDB_extra2.js,281
수요웹툰의나강림,webtoon_character_na_kang_lim,수요웹툰의 나강림,Webtoon Character Na Kang Lim,"Lee, Kyeongmin/Song, Junhyeok",2021,completed,web,src/data/coreDB_extra2.js,283
오늘만사는기사,the_knight_only_lives_today,오늘만 사는 기사,The Knight Only Lives Today,Soulpung/Ian,2024,ongoing,web,src/data/coreDB_extra2.js,284
小蘑菇,little_mushroom,小蘑菇,Little Mushroom,Yishisi Zhou/Maomao Tou,2023,ongoing,web,src/data/coreDB_extra2.js,285
픽미업,pick_me_up,픽 미 업!,Pick Me Up,Wasakbasak/Hermod,2022,ongoing,web,src/data/coreDB_extra2.js,288
이번생은가주가되겠습니다,i_shall_master_this_family,이번 생은 가주가 되겠습니다,I Shall Master This Family,"Kim, Roah/Mon",2021,ongoing,web,src/data/coreDB_extra2.js,297
sss급죽어야사는헌터,sss_class_revival_hunter,SSS급 죽어야 사는 헌터,SSS-Class Revival Hunter,Bill K/Sinnoa,2020,ongoing,web,src/data/coreDB_extra2.js,298
reゼロから始める異世界生活第四章聖域と強欲の魔女,re_zero_starting_life_in_another_world_chapter_four_the_sanctuary_and_the_witch_of_greed,Re:ゼロから始める異世界生活 第四章 聖域と強欲の魔女,"Re:ZERO -Starting Life in Another World-, Chapter 4: The Sanctuary and the Witch of Greed","Atori, Haruno/Nagatsuki, Tappei",2019,ongoing,seinen,src/data/coreDB_extra2.js,299
이웃집길드원,virtual_strangers,이웃집 길드원,Virtual Strangers,Honeytrap/Bijak,2023,ongoing,web,src/data/coreDB_extra2.js,302
어떤계모님의메르헨,a_stepmother_s_m_rchen,어떤 계모님의 메르헨,A Stepmother's Märchen,Nyangi-wa Hyangsinnyo/ORKA,2019,ongoing,web,src/data/coreDB_extra2.js,304
天国大魔境,heavenly_delusion,天国大魔境,Heavenly Delusion,"Ishiguro, Masakazu",2018,ongoing,seinen,src/data/coreDB_extra2.js,308
ウスズミの果て,the_color_of_the_end_mission_in_the_apocalypse,ウスズミの果て,The Color of the End: Mission in the Apocalypse,"Iwamune, Haruo",2022,ongoing,seinen,src/data/coreDB_extra2.js,310
데뷔못하면죽는병걸림,debut_or_die,데뷔 못 하면 죽는 병 걸림,Debut or Die!,"Baek, Deoksoo/Soheun",2022,ongoing,web,src/data/coreDB_extra2.js,314
山田くんとlv999の恋をする,my_love_story_with_yamada_kun_at_lv_nine_nine_nine,山田くんとLv999の恋をする,My Love Story with Yamada-kun at Lv999,Mashiro,2019,ongoing,seinen,src/data/coreDB_extra2.js,315
veil,veil,Veil,Veil,"Fukuda, Ikumi",2019,ongoing,seinen,src/data/coreDB_extra2.js,321
天官赐福,heaven_official_s_blessing,天官赐福,Heaven Official's Blessing,Mo Xiang Tong Xiu/STARember,2019,ongoing,web,src/data/coreDB_extra2.js,322
薬屋のひとりごと,the_apothecary_diaries,薬屋のひとりごと,The Apothecary Diaries,"Hyuuga, Natsu/Nekokurage",2017,ongoing,seinen,src/data/coreDB_extra2.js,323
魔道祖师,grandmaster_of_demonic_cultivation_mo_dao_zu_shi,魔道祖师,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi,Mo Xiang Tong Xiu/Luo Di Cheng Qiu,2017,completed,web,src/data/coreDB_extra2.js,324
戦奏教室,the_bugle_call_song_of_war,戦奏教室,The Bugle Call: Song of War,"Toumori, Higoro/Sora, Mozuku",2022,ongoing,shonen,src/data/coreDB_extra2.js,325
ヴァニタスの手記〈カルテ〉,the_case_study_of_vanitas,ヴァニタスの手記〈カルテ〉,The Case Study of Vanitas,"Mochizuki, Jun",2015,ongoing,shonen,src/data/coreDB_extra2.js,328
帝都聖杯奇譚fate/typeredline,teito_seihai_kitan_fate_type_redline,帝都聖杯奇譚 Fate/type Redline,Teito Seihai Kitan: Fate/type Redline,"Keikenchi/Hirano, Ryouji",2019,ongoing,seinen,src/data/coreDB_extra2.js,330
黒執事,black_butler,黒執事,Black Butler,"Toboso, Yana",2006,ongoing,shonen,src/data/coreDB_extra2.js,332
長歌行,song_of_the_long_march,長歌行,Song of the Long March,"Xia, Da",2011,ongoing,web,src/data/coreDB_extra2.js,334
ブラックラグン,black_lagoon,ブラックラグーン,Black Lagoon,"Hiroe, Rei",2002,ongoing,seinen,src/data/coreDB_extra2.js,337
封神紀ⅱ,feng_shen_ji_ii,封神紀Ⅱ,Feng Shen Ji II,"Deng, Zhi Hui/Zheng, Jian He",2011,completed,web,src/data/coreDB_extra2.js,349
封神纪iii,feng_shen_ji_iii,封神纪III,Feng Shen Ji III,"Deng, Zhi Hui/Zheng, Jian He",2012,completed,web,src/data/coreDB_extra2.js,350
はじめの一歩,hajime_no_ippo_fighting_spirit,はじめの一歩,Hajime no Ippo: Fighting Spirit!,"Morikawa, George",1989,ongoing,shonen,src/data/coreDB_extra2.js,353
ボルルムへようこそ,welcome_to_the_ballroom,ボールルームへようこそ,Welcome to the Ballroom,"Takeuchi, Tomo",2011,ongoing,shonen,src/data/coreDB_extra2.js,361
ウマ娘プリティダビスタブロッサム,uma_musume_pretty_derby_star_blossom,ウマ娘 プリティーダービー スターブロッサム,Uma Musume: Pretty Derby - Star Blossom,"Hotani, Shin",2023,ongoing,seinen,src/data/coreDB_extra2.js,374
ウマ娘プリティダビスタブロッサム,uma_musume_pretty_derby_star_blossom_x,ウマ娘 プリティーダービー スターブロッサム,Uma Musume: Pretty Derby - Star Blossom,"Hotani, Shin",2023,ongoing,seinen,src/data/coreDB_extra2.js,375
キン肉マン,kinnikuman,キン肉マン,Kinnikuman,Yudetamago,1979,ongoing,shonen,src/data/coreDB_extra2.js,376
ワンダンス,wandance,ワンダンス,Wandance,Coffee,2019,ongoing,seinen,src/data/coreDB_extra2.js,377
バトルスタディズ,battle_studies,バトルスタディーズ,Battle Studies,Nakibokuro,2015,ongoing,seinen,src/data/coreDB_extra2.js,390
ぐらんぶる,grand_blue_dreaming,ぐらんぶる,Grand Blue Dreaming,"Inoue, Kenji/Yoshioka, Kimitake",2014,ongoing,seinen,src/data/coreDB_extra2.js,391
ワンパンマン,one_punch_man,ワンパンマン,One-Punch Man,"Murata, Yusuke/ONE",2012,ongoing,seinen,src/data/coreDB_extra2.js,394
ひらやすみ,hirayasumi,ひらやすみ,Hirayasumi,"Shinzou, Keigo",2021,ongoing,seinen,src/data/coreDB_extra2.js,396
佐々木と宮野,sasaki_and_miyano,佐々木と宮野,Sasaki and Miyano,"Harusono, Shou",2016,ongoing,seinen,src/data/coreDB_extra2.js,398
雨夜の月,the_moon_on_a_rainy_night,雨夜の月,The Moon on a Rainy Night,Kuzushiro,2021,ongoing,seinen,src/data/coreDB_extra2.js,399
地縛少年花子くん,toilet_bound_hanako_kun,地縛少年花子くん,Toilet-Bound Hanako-kun,"Aida, Iro",2014,ongoing,shonen,src/data/coreDB_extra2.js,400
ほんと野獣,like_the_beast,ほんと野獣,Like the Beast,"Yamamoto, Kotetsuko",2008,ongoing,seinen,src/data/coreDB_extra2.js,401
平野と鍵浦,hirano_and_kagiura,平野と鍵浦,Hirano and Kagiura,"Harusono, Shou",2019,ongoing,josei,src/data/coreDB_extra2.js,402
日常,nichijou,日常,Nichijou,"Arawi, Keiichi",2006,ongoing,shonen,src/data/coreDB_extra2.js,406
学園ベビシッタズ,gakuen_babysitters,学園ベビーシッターズ,Gakuen Babysitters,"Tokeino, Hari",2009,ongoing,shojo,src/data/coreDB_extra2.js,410
世界一初恋～小野寺律の場合～,the_world_s_greatest_first_love_the_case_of_ritsu_onodera,世界一初恋 ～小野寺律の場合～,The World's Greatest First Love: The Case of Ritsu Onodera,"Nakamura, Shungiku",2006,ongoing,seinen,src/data/coreDB_extra2.js,411
おじさまと猫,a_man_and_his_cat,おじさまと猫,A Man & His Cat,"Sakurai, Umi",2017,ongoing,seinen,src/data/coreDB_extra2.js,412
文豪ストレイドッグスわん,bungo_stray_dogs_wan,文豪ストレイドッグス わん!,Bungo Stray Dogs: Wan!,"Kanai, Neco",2015,ongoing,seinen,src/data/coreDB_extra2.js,414
春風のエトランゼ,seaside_stranger_harukaze_no_etranger,春風のエトランゼ,Seaside Stranger: Harukaze no Etranger,"Kii, Kanna",2014,ongoing,seinen,src/data/coreDB_extra2.js,415
ファントムバスタズ,phantom_busters,ファントムバスターズ,Phantom Busters,shoco,2023,ongoing,shonen,src/data/coreDB_extra2.js,419
作りたい女と食べたい女,she_loves_to_cook_and_she_loves_to_eat,作りたい女と食べたい女,"She Loves to Cook, and She Loves to Eat","Yuzaki, Sakaomi",2021,ongoing,josei,src/data/coreDB_extra2.js,421
canisシリズ,canis,CANISシリーズ,Canis,"Ishie, Hachi",2012,ongoing,seinen,src/data/coreDB_extra2.js,422
こいものがたり,koimonogatari_love_stories,こいものがたり,Koimonogatari: Love Stories,"Tagura, Tohru",2013,ongoing,seinen,src/data/coreDB_extra2.js,424
ゆるゆり,yuru_yuri,ゆるゆり,Yuru Yuri,Namori,2008,ongoing,seinen,src/data/coreDB_extra2.js,431
메리마블링,merry_marbling,메리 마블링,Merry Marbling,Pengki,2022,completed,web,src/data/coreDB_extra2.js,433
ブルスカイコンプレックス,blue_sky_complex,ブルースカイコンプレックス,Blue Sky Complex,"Ichikawa, Kei",2013,ongoing,seinen,src/data/coreDB_extra2.js,434
ただいま、おかえり,tadaima_okaeri,ただいま、おかえり,"Tadaima, Okaeri","Ichikawa, Ichi",2015,ongoing,seinen,src/data/coreDB_extra2.js,436
飴色パラドックス,candy_color_paradox,飴色パラドックス,Candy Color Paradox,"Natsume, Isaku",2009,ongoing,seinen,src/data/coreDB_extra2.js,439
君と宇宙を歩くために,spacewalking_with_you,君と宇宙を歩くために,Spacewalking with You,"Doronoda, Inuhiko",2023,ongoing,josei,src/data/coreDB_extra2.js,442
ささやくように恋を唄う,whisper_me_a_love_song,ささやくように恋を唄う,Whisper Me a Love Song,"Takeshima, Eku",2019,ongoing,seinen,src/data/coreDB_extra2.js,443
